path,config_id,class,config_json,leaf,params,macs,input_kind,input_shapes,out_shapes,count,lat_mean_ms,lat_median_ms,lat_std_ms
model.4.m.0.cv1.conv,04290e6ccde316eb,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [1, 1]}",True,4608,22118400,tensor,"[[1, 32, 60, 80]]","[[1, 16, 60, 80]]",7,1.5983,1.3535,0.6122
model.4.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4672,,tensor,"[[1, 16, 60, 80]]","[[1, 32, 60, 80]]",7,1.7345,1.6559,0.2092
model.4.m.0.cv2.conv,58db6d670a6061c2,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}",True,4608,22118400,tensor,"[[1, 16, 60, 80]]","[[1, 32, 60, 80]]",7,1.3198,1.2997,0.0782
model.5,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,147712,,tensor,"[[1, 128, 60, 80]]","[[1, 128, 30, 40]]",7,5.8356,5.7737,0.2524
model.5.conv,4b4c3f50477a05c2,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 128, ""padding"": [1, 1], ""stride"": [2, 2]}",True,147456,176947200,tensor,"[[1, 128, 60, 80]]","[[1, 128, 30, 40]]",7,5.4197,5.2674,0.2697
model.6,1feff90f3b9ccccf,C3k2,"{""class"": ""C3k2""}",False,87040,,tensor,"[[1, 128, 30, 40]]","[[1, 128, 30, 40]]",7,10.5825,10.5249,0.3142
model.6.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,16640,,tensor,"[[1, 128, 30, 40]]","[[1, 128, 30, 40]]",7,1.6455,1.6586,0.0396
model.6.cv1.conv,347e13f415663a02,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}",True,16384,19660800,tensor,"[[1, 128, 30, 40]]","[[1, 128, 30, 40]]",7,1.3347,1.3519,0.0396
model.6.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,24832,,tensor,"[[1, 192, 30, 40]]","[[1, 128, 30, 40]]",7,2.4387,2.5559,0.3203
model.6.cv2.conv,f89ca271fc1e6775,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 192, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}",True,24576,29491200,tensor,"[[1, 192, 30, 40]]","[[1, 128, 30, 40]]",7,2.136,2.2588,0.3031
model.6.m.0,e371addf8e0cb08a,C3k,"{""class"": ""C3k""}",False,45568,,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",7,6.1284,5.9766,0.4541
model.6.m.0.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,2112,,tensor,"[[1, 64, 30, 40]]","[[1, 32, 30, 40]]",7,0.8359,0.7802,0.1
model.6.m.0.cv1.conv,4dcd5e71e363bf00,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",True,2048,2457600,tensor,"[[1, 64, 30, 40]]","[[1, 32, 30, 40]]",7,0.6799,0.6234,0.0951
model.6.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,2112,,tensor,"[[1, 64, 30, 40]]","[[1, 32, 30, 40]]",7,0.5981,0.5934,0.0189
model.6.m.0.cv2.conv,4dcd5e71e363bf00,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}",True,2048,2457600,tensor,"[[1, 64, 30, 40]]","[[1, 32, 30, 40]]",7,0.4706,0.4707,0.0139
model.6.m.0.cv3,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,4224,,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",7,0.9244,0.7104,0.3148
model.6.m.0.cv3.conv,8509c678becabfbf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,4096,4915200,tensor,"[[1, 64, 30, 40]]","[[1, 64, 30, 40]]",7,0.6025,0.5556,0.1001
model.6.m.0.m,2b0e95bfcbd5c89c,Sequential,"{""class"": ""Sequential""}",False,37120,,tensor,"[[1, 32, 30, 40]]","[[1, 32, 30, 40]]",7,3.5568,3.6094,0.3704
model.6.m.0.m.0,ae4ed55649189a64,Bottleneck,"{""class"": ""Bottleneck""}",False,18560,,tensor,"[[1, 32, 30, 40]]","[[1, 32, 30, 40]]",7,2.1432,2.1336,0.3575
model.6.m.0.m.0.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,9280,,tensor,"[[1, 32, 30, 40]]","[[1, 32, 30, 40]]",7,0.8599,0.7593,0.1878
model.6.m.0.m.0.cv1.conv,bca6aebd671901f9,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}",True,9216,11059200,tensor,"[[1, 32, 30, 40]]","[[1, 32, 30, 40]]",7,0.6986,0.6239,0.1814
model.6.m.0.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,9280,,tensor,"[[1, 32, 30, 40]]","[[1, 32, 30, 40]]",7,1.2018,1.3183,0.3622
model.6.m.0.m.0.cv2.conv,bca6aebd671901f9,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}",True,9216,11059200,tensor,"[[1, 32, 30, 40]]","[[1, 32, 30, 40]]",7,1.0532,1.1573,0.3499
model.6.m.0.m.1,ae4ed55649189a64,Bottleneck,"{""class"": ""Bottleneck""}",False,18560,,tensor,"[[1, 32, 30, 40]]","[[1, 32, 30, 40]]",7,1.3762,1.3679,0.0448
model.6.m.0.m.1.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,9280,,tensor,"[[1, 32, 30, 40]]","[[1, 32, 30, 40]]",7,0.6877,0.6991,0.036
model.6.m.0.m.1.cv1.conv,bca6aebd671901f9,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}",True,9216,11059200,tensor,"[[1, 32, 30, 40]]","[[1, 32, 30, 40]]",7,0.5568,0.5632,0.031
model.6.m.0.m.1.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,9280,,tensor,"[[1, 32, 30, 40]]","[[1, 32, 30, 40]]",7,0.6248,0.614,0.0188
model.6.m.0.m.1.cv2.conv,bca6aebd671901f9,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}",True,9216,11059200,tensor,"[[1, 32, 30, 40]]","[[1, 32, 30, 40]]",7,0.4948,0.4894,0.0157
model.7,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,295424,,tensor,"[[1, 128, 30, 40]]","[[1, 256, 15, 20]]",7,3.123,2.91,0.2885
model.7.conv,9ae5ec4ddbebd1a6,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 256, ""padding"": [1, 1], ""stride"": [2, 2]}",True,294912,88473600,tensor,"[[1, 128, 30, 40]]","[[1, 256, 15, 20]]",7,2.9224,2.7097,0.2889
model.8,1feff90f3b9ccccf,C3k2,"{""class"": ""C3k2""}",False,346112,,tensor,"[[1, 256, 15, 20]]","[[1, 256, 15, 20]]",7,9.4514,9.1636,1.074
model.8.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,66048,,tensor,"[[1, 256, 15, 20]]","[[1, 256, 15, 20]]",7,1.8973,1.8485,0.7741
model.8.cv1.conv,850cd8751e07b4ce,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 256, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}",True,65536,19660800,tensor,"[[1, 256, 15, 20]]","[[1, 256, 15, 20]]",7,1.619,1.6582,0.5855
model.8.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,98816,,tensor,"[[1, 384, 15, 20]]","[[1, 256, 15, 20]]",7,1.4149,1.396,0.0415
model.8.cv2.conv,a5afdd11be223ff4,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 384, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}",True,98304,29491200,tensor,"[[1, 384, 15, 20]]","[[1, 256, 15, 20]]",7,1.2146,1.2088,0.025
model.8.m.0,e371addf8e0cb08a,C3k,"{""class"": ""C3k""}",False,181248,,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,5.8299,5.696,0.4101
model.8.m.0.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,8320,,tensor,"[[1, 128, 15, 20]]","[[1, 64, 15, 20]]",7,0.7839,0.615,0.4439
model.8.m.0.cv1.conv,00b2e6a5f34b1125,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,8192,2457600,tensor,"[[1, 128, 15, 20]]","[[1, 64, 15, 20]]",7,0.6493,0.4785,0.4375
model.8.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,8320,,tensor,"[[1, 128, 15, 20]]","[[1, 64, 15, 20]]",7,1.0026,0.8814,0.2842
model.8.m.0.cv2.conv,00b2e6a5f34b1125,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}",True,8192,2457600,tensor,"[[1, 128, 15, 20]]","[[1, 64, 15, 20]]",7,0.8601,0.7082,0.2792
model.8.m.0.cv3,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,16640,,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,0.7163,0.7011,0.0562
model.8.m.0.cv3.conv,347e13f415663a02,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}",True,16384,4915200,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,0.5808,0.5675,0.0542
model.8.m.0.m,2b0e95bfcbd5c89c,Sequential,"{""class"": ""Sequential""}",False,147968,,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",7,3.1384,3.1236,0.3481
model.8.m.0.m.0,ae4ed55649189a64,Bottleneck,"{""class"": ""Bottleneck""}",False,73984,,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",7,1.601,1.6088,0.1009
model.8.m.0.m.0.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,36992,,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",7,0.8805,0.8697,0.0281
model.8.m.0.m.0.cv1.conv,7123a330f783f287,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}",True,36864,11059200,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",7,0.7417,0.7334,0.0235
model.8.m.0.m.0.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,36992,,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",7,0.6461,0.6316,0.0754
model.8.m.0.m.0.cv2.conv,7123a330f783f287,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}",True,36864,11059200,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",7,0.5074,0.4919,0.0543
model.8.m.0.m.1,ae4ed55649189a64,Bottleneck,"{""class"": ""Bottleneck""}",False,73984,,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",7,1.5029,1.47,0.2735
model.8.m.0.m.1.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,36992,,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",7,0.698,0.6096,0.2063
model.8.m.0.m.1.cv1.conv,7123a330f783f287,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}",True,36864,11059200,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",7,0.5646,0.4737,0.1902
model.8.m.0.m.1.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,36992,,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",7,0.7129,0.7103,0.1651
model.8.m.0.m.1.cv2.conv,7123a330f783f287,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}",True,36864,11059200,tensor,"[[1, 64, 15, 20]]","[[1, 64, 15, 20]]",7,0.5399,0.581,0.08
model.9,842196f9d110199d,SPPF,"{""class"": ""SPPF""}",False,164608,,tensor,"[[1, 256, 15, 20]]","[[1, 256, 15, 20]]",7,6.5416,6.5296,0.176
model.9.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,33024,,tensor,"[[1, 256, 15, 20]]","[[1, 128, 15, 20]]",7,0.9234,0.9256,0.0611
model.9.cv1.conv,1712e7d5e9da8bf3,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 256, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}",True,32768,9830400,tensor,"[[1, 256, 15, 20]]","[[1, 128, 15, 20]]",7,0.7601,0.743,0.0568
model.9.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,131584,,tensor,"[[1, 512, 15, 20]]","[[1, 256, 15, 20]]",7,2.0665,2.0393,0.1635
model.9.cv2.conv,c9903d10288673c8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 512, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}",True,131072,39321600,tensor,"[[1, 512, 15, 20]]","[[1, 256, 15, 20]]",7,1.7606,1.7514,0.0392
model.9.m,c835d8233841ec8c,MaxPool2d,"{""class"": ""MaxPool2d"", ""dilation"": 1, ""kernel_size"": 5, ""padding"": 2, ""stride"": 1}",True,0,,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,0.8515,0.7232,0.2067
model.10,98b0d46b695d1d4c,C2PSA,"{""class"": ""C2PSA""}",False,249728,,tensor,"[[1, 256, 15, 20]]","[[1, 256, 15, 20]]",7,9.9128,9.551,1.0722
model.10.cv1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,66048,,tensor,"[[1, 256, 15, 20]]","[[1, 256, 15, 20]]",7,1.2735,1.268,0.0408
model.10.cv1.conv,850cd8751e07b4ce,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 256, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}",True,65536,19660800,tensor,"[[1, 256, 15, 20]]","[[1, 256, 15, 20]]",7,1.0828,1.0629,0.0381
model.10.cv2,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,66048,,tensor,"[[1, 256, 15, 20]]","[[1, 256, 15, 20]]",7,1.2537,1.1911,0.2275
model.10.cv2.conv,850cd8751e07b4ce,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 256, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}",True,65536,19660800,tensor,"[[1, 256, 15, 20]]","[[1, 256, 15, 20]]",7,1.0391,0.9102,0.2163
model.10.m,2b0e95bfcbd5c89c,Sequential,"{""class"": ""Sequential""}",False,117632,,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,7.1096,6.7035,1.1303
model.10.m.0,bef7bcad3cc2e8ea,PSABlock,"{""class"": ""PSABlock""}",False,117632,,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,7.087,6.6821,1.1307
model.10.m.0.attn,1329798c563eece5,Attention,"{""class"": ""Attention""}",False,51328,,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,4.5562,4.3778,0.5164
model.10.m.0.attn.qkv,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,33280,,tensor,"[[1, 128, 15, 20]]","[[1, 256, 15, 20]]",7,0.9022,0.7632,0.2527
model.10.m.0.attn.qkv.conv,5eff6a3a74c95823,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}",True,32768,9830400,tensor,"[[1, 128, 15, 20]]","[[1, 256, 15, 20]]",7,0.8542,0.7189,0.2503
model.10.m.0.attn.qkv.act,6349974901edc3ae,Identity,"{""class"": ""Identity""}",True,0,,tensor,"[[1, 256, 15, 20]]","[[1, 256, 15, 20]]",7,0.0049,0.0049,0.0002
model.10.m.0.attn.proj,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,16640,,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,0.7185,0.5882,0.2132
model.10.m.0.attn.proj.conv,347e13f415663a02,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}",True,16384,4915200,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,0.6724,0.5432,0.2109
model.10.m.0.attn.proj.act,6349974901edc3ae,Identity,"{""class"": ""Identity""}",True,0,,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,0.0044,0.004,0.001
model.10.m.0.attn.pe,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,1408,,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,0.6531,0.6056,0.1015
model.10.m.0.attn.pe.conv,d8b623f69d3ca6d9,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 128, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 128, ""padding"": [1, 1], ""stride"": [1, 1]}",True,1152,345600,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,0.5951,0.5498,0.0984
model.10.m.0.attn.pe.act,6349974901edc3ae,Identity,"{""class"": ""Identity""}",True,0,,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,0.0043,0.0042,0.0005
model.10.m.0.ffn,2b0e95bfcbd5c89c,Sequential,"{""class"": ""Sequential""}",False,66304,,tensor,"[[1, 128, 15, 20]]","[[1, 128, 15, 20]]",7,2.3445,1.9208,1.0134
model.10.m.0.ffn.0,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,33280,,tensor,"[[1, 128, 15, 20]]","[[1, 256, 15, 20]]",7,1.4791,0.9848,0.8047
model.10.m.0.ffn.0.conv,5eff6a3a74c95823,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}",True,32768,9830400,tensor,"[[1, 128, 15, 20]]","[[1, 256, 15, 20]]",7,1.1769,0.8004,0.6319
